time,month_x,sst,year_x,ElNiño,LaNiña,Neutral,year_y,month_y,precipitation,max_temp,min_temp
2001-02-01,2,-0.48158988,2001,,,-0.48158988,2001,2,0.20714285714285713,34.20357142857143,23.15357142857143
2001-03-01,3,-0.3822742,2001,,,-0.3822742,2001,3,7.680645161290323,32.69032258064516,23.09032258064516
2001-04-01,4,-0.31530726,2001,,,-0.31530726,2001,4,1.1803333333333332,32.413333333333334,21.90666666666667
2001-05-01,5,-0.2144643,2001,,,-0.2144643,2001,5,0.0,29.40967741935484,18.780645161290323
2001-06-01,6,-0.06491928,2001,,,-0.06491928,2001,6,0.0,27.009999999999998,17.246666666666666
2001-07-01,7,0.03516581,2001,,,0.03516581,2001,7,0.0,28.451612903225808,17.664516129032258
2001-08-01,8,-0.02434523,2001,,,-0.02434523,2001,8,0.0,28.42258064516129,17.138709677419353
2001-09-01,9,-0.08744776,2001,,,-0.08744776,2001,9,0.01,28.803333333333335,16.546666666666667
2001-10-01,10,-0.18909422,2001,,,-0.18909422,2001,10,0.0,28.893548387096775,16.59032258064516
2001-11-01,11,-0.29000318,2001,,,-0.29000318,2001,11,0.13,30.06,17.486666666666668
2001-12-01,12,-0.2767384,2001,,,-0.2767384,2001,12,0.13548387096774195,32.37096774193548,18.9
2002-01-01,1,-0.1327499,2002,,,-0.1327499,2002,1,0.0032258064516129032,34.89032258064516,19.980645161290322
2002-02-01,2,0.03581987,2002,,,0.03581987,2002,2,0.17857142857142858,34.364285714285714,23.20357142857143
2002-03-01,3,0.14071646,2002,,,0.14071646,2002,3,3.3225806451612905,34.20645161290323,24.11935483870968
2002-04-01,4,0.22406769,2002,,,0.22406769,2002,4,4.373333333333333,32.43333333333333,22.716666666666665
2002-05-01,5,0.47740436,2002,,,0.47740436,2002,5,0.0,32.51935483870968,19.91290322580645
2002-06-01,6,0.65565157,2002,0.65565157,,,2002,6,0.0,30.03666666666667,17.06
2002-07-01,7,0.79176176,2002,0.79176176,,,2002,7,0.0,28.724137931034484,17.36551724137931
2002-08-01,8,0.8303723,2002,0.8303723,,,2002,8,0.0,28.783870967741933,17.567741935483873
2002-09-01,9,0.97496176,2002,0.97496176,,,2002,9,0.0,29.52,16.676666666666666
2002-10-01,10,1.1955314,2002,1.1955314,,,2002,10,0.08064516129032258,30.225806451612904,18.261290322580646
2002-11-01,11,1.3603032,2002,1.3603032,,,2002,11,0.09,30.843333333333337,18.60666666666667
2002-12-01,12,1.2943357,2002,1.2943357,,,2002,12,0.041935483870967745,32.94193548387097,20.419354838709676
2003-01-01,1,1.0563269,2003,1.0563269,,,2003,1,0.1548387096774194,34.00322580645161,22.154838709677417
2003-02-01,2,0.7893051,2003,0.7893051,,,2003,2,0.4714285714285715,34.332142857142856,23.400000000000002
2003-03-01,3,0.46981737,2003,,,0.46981737,2003,3,0.06451612903225806,34.36129032258064,22.39032258064516
2003-04-01,4,0.071833014,2003,,,0.071833014,2003,4,0.0,33.20333333333333,20.726666666666667
2003-05-01,5,-0.1940835,2003,,,-0.1940835,2003,5,0.0,31.44193548387097,19.148387096774194
2003-06-01,6,-0.14097017,2003,,,-0.14097017,2003,6,0.06666666666666667,30.223,17.626666666666665
2003-07-01,7,0.050546877,2003,,,0.050546877,2003,7,0.00967741935483871,29.65483870967742,17.425806451612903
2003-08-01,8,0.1902949,2003,,,0.1902949,2003,8,0.0,29.383870967741935,17.190322580645162
2003-09-01,9,0.31120384,2003,,,0.31120384,2003,9,0.0,29.32,16.703333333333333
2003-10-01,10,0.40605304,2003,,,0.40605304,2003,10,0.0,30.822580645161292,17.361290322580647
2003-11-01,11,0.4686944,2003,,,0.4686944,2003,11,0.05333333333333334,30.913333333333334,18.10666666666667
2003-12-01,12,0.38411254,2003,,,0.38411254,2003,12,0.27741935483870966,32.66774193548387,19.248387096774195
2004-01-01,1,0.3309753,2004,,,0.3309753,2004,1,0.24193548387096775,34.274193548387096,20.67096774193548
