,"('Adj Close', '^SPBLPGPT')","('Close', '^SPBLPGPT')","('High', '^SPBLPGPT')","('Low', '^SPBLPGPT')","('Open', '^SPBLPGPT')","('Volume', '^SPBLPGPT')",index
2006-06-30,8155.7998046875,8155.7998046875,8159.2099609375,7923.64990234375,7926.490234375,0.0,
2006-07-31,8973.6904296875,8973.6904296875,9003.599609375,8829.830078125,8829.830078125,0.0,
2006-08-31,10011.9501953125,10011.9501953125,10021.400390625,9847.599609375,9847.599609375,0.0,
2006-09-30,10390.33984375,10390.33984375,10427.7900390625,10329.6396484375,10348.2998046875,0.0,
2006-10-31,10694.5400390625,10694.5400390625,10732.9697265625,10621.419921875,10725.400390625,0.0,
2006-11-30,11482.41015625,11482.41015625,11485.9404296875,11398.0595703125,11398.0595703125,0.0,
2006-12-31,12884.2001953125,12884.2001953125,12915.7099609375,12848.0703125,12891.599609375,0.0,
2007-01-31,13633.7802734375,13633.7802734375,13635.7900390625,13567.080078125,13567.080078125,0.0,
2007-02-28,15150.740234375,15150.740234375,15271.919921875,15082.0498046875,15271.919921875,0.0,
2007-03-31,17157.05078125,17157.05078125,17304.7890625,17013.369140625,17013.91015625,0.0,
2007-04-30,20674.779296875,20674.779296875,20829.1796875,20637.490234375,20786.189453125,0.0,
2007-05-31,20129.5,20129.5,20133.490234375,18549.16015625,18549.16015625,0.0,
2007-06-30,22365.900390625,22365.900390625,22374.1796875,22187.73046875,22191.2890625,0.0,
2007-07-31,23418.169921875,23418.169921875,23481.310546875,23154.869140625,23154.869140625,0.0,
2007-08-31,20846.259765625,20846.259765625,20861.3203125,20550.19921875,20550.19921875,0.0,
2007-09-30,21823.439453125,21823.439453125,22022.529296875,21760.970703125,21944.650390625,0.0,
2007-10-31,21696.26953125,21696.26953125,21906.7890625,21684.55078125,21780.349609375,0.0,
2007-11-30,18255.970703125,18255.970703125,18425.990234375,17951.599609375,17951.599609375,0.0,
2007-12-31,17524.7890625,17524.7890625,17572.1796875,17420.689453125,17552.5390625,0.0,
2008-01-31,15009.98046875,15009.98046875,15009.98046875,14457.66015625,14548.3203125,0.0,
2008-02-29,17766.939453125,17766.939453125,18052.5390625,17741.580078125,18050.259765625,0.0,
2008-03-31,17387.470703125,17387.470703125,17437.25,17350.029296875,17406.669921875,0.0,
2008-04-30,17429.939453125,17429.939453125,17472.880859375,17359.169921875,17445.640625,0.0,
2008-05-31,17130.7890625,17130.7890625,17222.51953125,16894.060546875,16917.810546875,0.0,
2008-06-30,16293.9697265625,16293.9697265625,16351.0,16239.0703125,16343.099609375,0.0,
2008-07-31,13765.4501953125,13765.4501953125,13774.3798828125,13367.3203125,13396.9697265625,0.0,
2008-08-31,13287.419921875,13287.419921875,13287.419921875,13210.8701171875,13269.7802734375,0.0,
2008-09-30,11248.419921875,11248.419921875,11279.4501953125,11126.900390625,11126.900390625,0.0,
2008-10-31,7055.0400390625,7055.0400390625,7082.0400390625,6773.02001953125,6826.56982421875,0.0,
